Tytuł,Cena,Ekran:,Procesor,RAM,Grafika:,Dysk SSD,System operacyjny,Firma procesora
"Laptop biznesowy HP Envy 17-cw0122nw 17,3"" i7-13700H 16GB RAM 1TB Dysk SSD Win11 Pro Srebrny",4599,"17,3 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i7 13gen 13700H,16,Intel® Iris Xe Graphics,1024,Windows 11 Professional,Intel
"Laptop Acer Chromebook Plus 515 Google AI laptop CB515-2H-55JL 15,6"" i5-1235U 8GB RAM 512GB Dysk SSD ChromeOS Szary",1699,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,8,Intel® Iris Xe Graphics,512,Chrome OS,Intel
"Laptop Acer Aspire 15 A15-41M-R00C 15,6"" R7 8840HS 16GB RAM 512GB Dysk SSD Win11 Szary",3599,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 7 8840HS,16,AMD Radeon™ 780M,512,Windows 11 Home,AMD
"Laptop ASUS Vivobook 16X K3605VC-MB231W 16"" i5-13500H 16GB RAM 512GB Dysk SSD RTX3050 Win11 Srebrny",3299,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 13gen 13500H,16,NVIDIA® GeForce RTX3050 + Intel Iris Xe Graphics,512,Windows 11 Home,Intel
"Laptop Acer Aspire 15 A15-41M-R00C 15,6"" R7 8840HS 16GB RAM 512GB Dysk SSD Win11 Szary",3599,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 7 8840HS,16,AMD Radeon™ 780M,512,Windows 11 Home,AMD
"Laptop ASUS Vivobook 16X K3605VC-MB231W 16"" i5-13500H 16GB RAM 512GB Dysk SSD RTX3050 Win11 Srebrny",3299,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 13gen 13500H,16,NVIDIA® GeForce RTX3050 + Intel Iris Xe Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy ASUS TUF Gaming F16 2024 FX607JV-N3186W 16"" 165Hz i7-13650HX 16GB RAM 1TB Dysk SSD RTX4060 Win11 Szary",5799,"16 "", 1920 x 1200 pikseli 165 Hz",Intel® Core™ i7 13gen 13650HX,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop biznesowy ASUS ExpertBook B1 B1502CVA-BQ0095X 15,6"" i5-1335U 16GB RAM 512GB Dysk SSD Win11 Pro Czarny",2899,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 13gen 1335U,16,Intel® Iris Xe Graphics,512,Windows 11 Professional,Intel
"Laptop ASUS M515UA-BQ560W 15,6"" R5 5500U 16GB RAM 512GB Dysk SSD Win11 Szary",2499,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 5500U,16,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop gamingowy Acer Nitro V 15 ANV15-51-57K8 15,6"" 144Hz i5-13420H 8GB RAM 512GB Dysk SSD RTX2050 Win11 Czarny",2699,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 13gen 13420H,8,NVIDIA® GeForce RTX™ 2050 + Intel UHD Graphics,512,Windows 11 Home,Intel
