Date_reported,Country,New_deaths,New_cases,daily_vaccinations,Year,Month,Day,Day_of_Week
2021-03-20,South Africa,311.0,1462.0,5751.0,2021,3,20,5
2021-03-20,Germany,0.0,0.0,209421.0,2021,3,20,5
2021-03-20,United States,956.0,63099.0,2602666.0,2021,3,20,5
2021-03-20,Japan,32.0,1480.0,50429.0,2021,3,20,5
2021-03-21,United States,1078.0,62022.0,2607801.0,2021,3,21,6
2021-03-21,Japan,22.0,1143.0,51102.0,2021,3,21,6
2021-03-21,Germany,1277.0,92610.0,208630.0,2021,3,21,6
2021-03-21,Pakistan,42.0,3876.0,26471.0,2021,3,21,6
2021-03-21,South Africa,47.0,1378.0,5996.0,2021,3,21,6
2021-03-21,Australia,0.0,4.0,16740.0,2021,3,21,6
2021-03-22,Australia,0.0,10.0,18581.0,2021,3,22,0
2021-03-22,Pakistan,44.0,3667.0,26471.0,2021,3,22,0
2021-03-22,South Africa,29.0,1051.0,6241.0,2021,3,22,0
2021-03-22,Germany,0.0,0.0,211628.0,2021,3,22,0
2021-03-22,United States,718.0,58456.0,2619623.0,2021,3,22,0
2021-03-22,Japan,23.0,973.0,51775.0,2021,3,22,0
2021-03-23,United States,553.0,45228.0,2645066.0,2021,3,23,1
2021-03-23,Japan,26.0,1289.0,48562.0,2021,3,23,1
2021-03-23,Germany,0.0,0.0,229105.0,2021,3,23,1
2021-03-23,Pakistan,20.0,3669.0,26471.0,2021,3,23,1
2021-03-23,South Africa,85.0,599.0,5282.0,2021,3,23,1
2021-03-23,Australia,0.0,5.0,22135.0,2021,3,23,1
2021-03-24,Australia,0.0,9.0,26050.0,2021,3,24,2
2021-03-24,Pakistan,72.0,3270.0,26471.0,2021,3,24,2
2021-03-24,South Africa,55.0,510.0,5628.0,2021,3,24,2
2021-03-24,Germany,0.0,0.0,248355.0,2021,3,24,2
2021-03-24,United States,938.0,48228.0,2700705.0,2021,3,24,2
2021-03-24,Japan,47.0,1854.0,43385.0,2021,3,24,2
2021-03-25,United States,753.0,57684.0,2762763.0,2021,3,25,3
2021-03-25,Japan,30.0,1943.0,38060.0,2021,3,25,3
2021-03-25,Germany,0.0,0.0,268367.0,2021,3,25,3
2021-03-25,Pakistan,30.0,3301.0,26471.0,2021,3,25,3
2021-03-25,South Africa,121.0,1048.0,6122.0,2021,3,25,3
2021-03-25,Australia,0.0,8.0,31343.0,2021,3,25,3
2021-03-26,Australia,0.0,12.0,36091.0,2021,3,26,4
2021-03-26,Pakistan,63.0,3946.0,26471.0,2021,3,26,4
2021-03-26,South Africa,163.0,1554.0,6860.0,2021,3,26,4
2021-03-26,Germany,0.0,0.0,286869.0,2021,3,26,4
2021-03-26,United States,1126.0,68021.0,2833241.0,2021,3,26,4
2021-03-26,Japan,29.0,2026.0,34862.0,2021,3,26,4
2021-03-27,United States,981.0,65367.0,2878677.0,2021,3,27,5
2021-03-27,Japan,31.0,1983.0,34573.0,2021,3,27,5
2021-03-27,Germany,0.0,0.0,295640.0,2021,3,27,5
2021-03-27,Pakistan,63.0,4368.0,26471.0,2021,3,27,5
2021-03-27,South Africa,67.0,1516.0,6543.0,2021,3,27,5
2021-03-27,Australia,0.0,12.0,38201.0,2021,3,27,5
2021-03-28,Australia,0.0,8.0,37114.0,2021,3,28,6
2021-03-28,Pakistan,67.0,4468.0,26471.0,2021,3,28,6
2021-03-28,South Africa,46.0,1387.0,6716.0,2021,3,28,6
2021-03-28,Germany,1526.0,116309.0,300193.0,2021,3,28,6
2021-03-28,United States,1042.0,74834.0,2905917.0,2021,3,28,6
2021-03-28,Japan,33.0,1765.0,34284.0,2021,3,28,6
2021-03-29,United States,851.0,63203.0,2973737.0,2021,3,29,0
2021-03-29,Japan,30.0,1561.0,33995.0,2021,3,29,0
2021-03-29,Germany,0.0,0.0,305417.0,2021,3,29,0
2021-03-29,Pakistan,57.0,4767.0,26471.0,2021,3,29,0
2021-03-29,South Africa,15.0,965.0,6890.0,2021,3,29,0
2021-03-29,Australia,1.0,18.0,40718.0,2021,3,29,0
2021-03-30,Australia,0.0,18.0,44550.0,2021,3,30,1
2021-03-30,Pakistan,41.0,4525.0,26471.0,2021,3,30,1
2021-03-30,South Africa,47.0,548.0,8207.0,2021,3,30,1
2021-03-30,Germany,0.0,0.0,309434.0,2021,3,30,1
2021-03-30,United States,618.0,53256.0,3049223.0,2021,3,30,1
2021-03-30,Japan,25.0,1937.0,35801.0,2021,3,30,1
2021-03-31,United States,548.0,58014.0,3137022.0,2021,3,31,2
2021-03-31,Japan,27.0,2661.0,37366.0,2021,3,31,2
2021-03-31,Germany,0.0,0.0,309031.0,2021,3,31,2
2021-03-31,Pakistan,100.0,4084.0,26471.0,2021,3,31,2
2021-03-31,South Africa,78.0,756.0,8010.0,2021,3,31,2
2021-03-31,Australia,0.0,8.0,47989.0,2021,3,31,2
2021-04-01,Australia,0.0,18.0,51923.0,2021,4,1,3
2021-04-01,Pakistan,78.0,4757.0,25936.0,2021,4,1,3
2021-04-01,South Africa,58.0,1422.0,6996.0,2021,4,1,3
2021-04-01,Germany,0.0,0.0,308229.0,2021,4,1,3
2021-04-01,United States,729.0,61789.0,3239655.0,2021,4,1,3
2021-04-01,Japan,49.0,2685.0,39284.0,2021,4,1,3
2021-04-02,United States,948.0,69567.0,3214629.0,2021,4,2,4
2021-04-02,Japan,23.0,2707.0,39118.0,2021,4,2,4
2021-04-02,Germany,0.0,0.0,286911.0,2021,4,2,4
2021-04-02,Pakistan,96.0,4974.0,25402.0,2021,4,2,4
2021-04-02,South Africa,51.0,1294.0,5538.0,2021,4,2,4
2021-04-02,Australia,0.0,13.0,45942.0,2021,4,2,4
2021-04-03,Australia,0.0,6.0,45570.0,2021,4,3,5
2021-04-03,Pakistan,83.0,5234.0,24868.0,2021,4,3,5
