Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
Apple MacBook Pro M4 Max/36GB/1TB/Mac OS Srebrny 32R GPU,"18 499,00 zł",xkom,Apple M4 Max,36 GB,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",
Lenovo ThinkBook 14 Ryzen 5 7535HS/32GB/512/Win11P,"4 699,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkBook 14 Ryzen 5 7535HS/16GB/512/Win11P,"4 299,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ryzen 7 7735HS/32GB/1TB/Win11P,"5 399,00 zł",xkom,AMD Ryzen™ 7 7735HS,32 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
Lenovo ThinkPad L14 Ryzen 5 PRO 7535U/16GB/512/Win11P,"5 299,00 zł",xkom,AMD Ryzen™ 5 7535U,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkPad L16 Ryzen 5 PRO 7535U/16GB/512/Win11P,"5 399,00 zł",xkom,AMD Ryzen™ 5 7535U,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkPad L16 Ultra 7‑155U/16GB/512/Win11P,"5 999,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo ThinkPad L16 Ryzen 7 PRO 7735U/32GB/512/Win11P,"6 399,00 zł",xkom,AMD Ryzen™ 7 PRO 7735U,32 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
Lenovo ThinkPad L16 Ryzen 7 PRO 7735U/16GB/512/Win11P,"5 999,00 zł",xkom,AMD Ryzen™ 7 PRO 7735U,16 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
Lenovo ThinkPad T14 Ryzen 5 PRO 8540U/16GB/512/Win11P,"6 399,00 zł",xkom,AMD Ryzen™ 5 8540U,16 GB,AMD Radeon™ 740M,"Matowy, LED, IPS",
Lenovo ThinkPad T16 Ultra 5‑125U/32GB/512/Win11P,"6 799,00 zł",xkom,Intel® Core™ Ultra 5 125U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo ThinkPad T16 Ultra 5‑125U/16GB/512/Win11P,"6 399,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Apple MacBook Air M2/16GB/256/Mac OS Gwiezdna Szarość 8R GPU,"4 499,00 zł",xkom,Apple M2,16 GB,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
ASUS Vivobook 15 i5‑1335U/16GB/512/Win11,"2 499,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑14 Ryzen 7‑7840HS/32GB/512/Win11 RTX4060 OLED,"6 299,00 zł",xkom,AMD Ryzen™ 7 7840HS,32 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
Lenovo V17 i7‑1355U/16GB/512/Win11P,"4 299,00 zł",xkom,Intel® Core™ i7-1355U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Apple MacBook Air M2/8GB/256/Mac OS Space Gray,"3 949,00 zł",xkom,Apple M2,8 GB,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M1/16GB/256/Mac OS Space Gray,"3 999,00 zł",xkom,Apple M1,16 GB,Apple M1 [7 rdzeni],"Błyszczący, LED, IPS, Retina",
Dell Vostro 16 5640 i5‑1334U/16GB/512/Win11P,"3 999,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel UHD Graphics,"Matowy, LED, WVA",
Dell Inspiron 5430 i7‑1355U/16GB/512/Win11,"3 699,00 zł",xkom,Intel® Core™ i7-1355U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
ASUS Vivobook S14 M5406NA R5‑7535HS/16GB/1TB/Win11 OLED,"3 249,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,AMD Radeon™ Graphics,"Błyszczący, OLED",
Acer Aspire 3 i5‑1235U/16GB/1TB/Win11,"2 799,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Inspiron 5440 Intel 7 150U/16GB/1TB/Win11,"3 899,00 zł",xkom,Intel® Core™ 7 150U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Gigabyte G6X 9KG (2024) i7‑13650HX/32GB/1TB/Win11X RTX4060 165Hz,"5 399,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Victus 15 i5‑12450H/32GB/512/Win11 RTX3050 144Hz,"3 199,00 zł",xkom,Intel® Core™ i5-12450H,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7735HS/32GB/960/Win11 RTX4060 144Hz,"5 499,00 zł",xkom,AMD Ryzen™ 7 7735HS,32 GB,NVIDIA GeForce RTX 4060 + AMD Radeon™ 680M,"Matowy, LED, IPS",
ASUS Vivobook 15 X1504VA i3‑1315U/16GB/512,"1 899,00 zł",xkom,Intel® Core™ i3-1315U,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Lenovo ThinkPad E16 Ultra 7‑155H/32GB/512/Win11P,"5 399,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel® Graphics,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R7‑7735HS/16GB/512/Win11 RTX4060 144Hz,"5 099,00 zł",xkom,AMD Ryzen™ 7 7735HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Dell Inspiron 5435 Ryzen 7 7730U/16GB/1TB/Win11,"3 499,00 zł",xkom,AMD Ryzen™ 7 7730U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Dell Latitude 3550 i5‑1335U/16GB/512/Win11P EDU 5y NBD,"3 999,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Lenovo IdeaPad Slim 3‑15 Ryzen 5‑7430U/16GB/512/Win11,"2 399,00 zł",xkom,AMD Ryzen™ 5 7430U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
