Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop LENOVO Legion Pro 5 16IRX9 16"" IPS 240Hz i7-14700HX 32GB RAM 1TB SSD GeForce RTX4070 DLSS 3",8599.98,MediaExpert,Intel Core i7-14700HX,32,1000,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,16,Brak,,Intel
"Laptop ACER Nitro 5 AN515-45 15.6"" IPS 165Hz R9-5900HX 32GB RAM 1TB SSD GeForce RTX3080 Windows 11 Home",6174.16,MediaExpert,AMD Ryzen 9 5900HX,32,1000,NVIDIA GeForce RTX 3080 + AMD Radeon Vega 8 Graphics,15.6,Windows 11 Home,,AMD
"Laptop ASUS TUF Gaming A15 FA507NUR-LP016W 15.6"" IPS 144Hz R7-7435HS 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",3934.22,MediaExpert,AMD Ryzen 7 7435HS,16,512,NVIDIA GeForce RTX 4050,15.6,Windows 11 Home,,AMD
"Laptop APPLE MacBook Air 2024 13.6"" M3 16GB RAM 512GB SSD macOS Srebrny",6199.0,MediaExpert,Apple M3,16,512,Apple M3 (10 rdzeni),13.6,macOS Sonoma,,Apple
"Laptop APPLE MacBook Air 13.3"" Retina M1 16GB RAM 256GB SSD macOS Srebrny",6103.88,MediaExpert,Apple M1,16,256,Apple M1 (7 rdzeni),13.3,macOS Big Sur,,Apple
"Laptop ACER Nitro 17 AN17-42-R3QA 17.3"" IPS 165Hz R7-8845HS 16GB RAM 1TB SSD GeForce RTX4070 DLSS 3 Windows 11 Home",6595.0,MediaExpert,AMD Ryzen 7 8845HS,16,1000,NVIDIA GeForce RTX 4070 + AMD Radeon 780M,17.3,Windows 11 Home,,AMD
"Laptop ASUS Vivobook A1504VA-BQ918W 15.6"" IPS i5-1335U 16GB RAM 512GB SSD Windows 11 Home",2499.99,MediaExpert,Intel Core i5-1335U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop LENOVO Legion 5 16IRX9 16"" IPS 165Hz i5-13450HX 16GB RAM 512GB SSD GeForce RTX4060 DLSS 3 Windows 11 Home",4999.0,MediaExpert,Intel Core i5-13450HX,16,512,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop MSI Cyborg A13VE-1067XPL 15.6"" IPS 144Hz i7-13620H 16GB RAM 512GB SSD GeForce RTX4050 DLSS 3",4099.0,MediaExpert,Intel Core i7-13620H,16,512,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop MICROSOFT Surface Pro Copilot+ PC 13"" OLED Snapdragon X Elite 16GB RAM 512GB SSD Windows 11 Home",6371.51,MediaExpert,Qualcomm Snapdragon X Elite,16,512,Qualcomm Adreno,13,Windows 11 Home,,Qualcomm
"Laptop ACER Nitro V 15 ANV15-41-R5SK 15.6"" IPS R5-7535HS 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home",4199.0,MediaExpert,AMD Ryzen 5 7535HS,16,1000,NVIDIA GeForce RTX 4050 + AMD Radeon 660M,15.6,Windows 11 Home,,AMD
