Tytuł,Cena,Sklep,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:,Dysk HDD:
"Laptop ACER Aspire Vero AV15-51-55PU 15.6"" IPS i5-1155G7 8GB RAM 512GB SSD Windows 11 Home","3 365
39
zł",ediaexpert,Intel Core i5-1155G7,"8GB, DDR4",512GB PCIe NVMe,Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED",Windows 11 Home,
"Laptop LENOVO ThinkPad P14s Gen 5 21ME000SPB 14"" OLED Ryzen 7 Pro 8840HS 32GB RAM 1TB SSD Windows 11 Professional","7 849
00
zł",ediaexpert,AMD Ryzen 7 Pro 8840HS,"32GB, DDR5, 5600MHz",1000GB PCIe NVMe 4.0 x4,AMD Radeon 780M,"14"", 2880 x 1800px, Matryca OLED, 120Hz",Windows 11 Professional,
"Laptop NTT Book B15IP 15.6"" IPS i5-1235U 32GB RAM 1TB SSD Windows 11 Home","2 799
00
zł",ediaexpert,Intel Core i5-1235U,32GB,1000GB PCIe NVMe,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 60Hz",Windows 11 Home,
"Laptop ASUS TUF Gaming F15 FX507VU-LP180W 15.6"" i7-13620H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Home","4 599
00
zł",ediaexpert,Intel Core i7-13620H,"16GB, DDR5, 4800MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Windows 11 Home,
"Laptop NTT Book B14IP 14"" IPS i5-1235U 16GB RAM 512GB SSD Windows 11 Home","2 529
99
zł",ediaexpert,Intel Core i5-1235U,16GB,512GB PCIe NVMe,Intel UHD Graphics,"14"", 1920 x 1200px, Matryca IPS, 60Hz",Windows 11 Home,
"Laptop HP ProBook 445 G10 14"" IPS R5-7530U 16GB RAM 512GB SSD Windows 11 Professional","3 549
99
zł",ediaexpert,AMD Ryzen 5 7530U,"16GB, DDR4, 3200MHz",512GB PCIe NVMe,AMD Radeon Graphics,"14"", 1920 x 1080px, Matryca IPS",Windows 11 Professional,
"Laptop HP 255 G9 15.6"" IPS R5-5625U 8GB RAM 512GB SSD Windows 11 Professional","2 299
00
zł",ediaexpert,AMD Ryzen 5 5625U,"8GB, DDR4, 3200MHz",512GB PCIe NVMe,AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS",Windows 11 Professional,
"Laptop DELL XPS 9640-2284 16.3"" Ultra 7-155H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3 Windows 11 Professional","11 699
00
zł",ediaexpert,Intel Core Ultra 7-155H,"16GB, LPDDR5X, 6400MHz",1000GB PCIe NVMe 4.0,NVIDIA GeForce RTX 4050 + Intel Arc Graphics,"16.3"", 1920 x 1200px, Matryca WVA, W-LED, 120Hz",Windows 11 Professional,
"Laptop NTT Book B15IP 15.6"" IPS i5-1235U 16GB RAM 1TB SSD Windows 11 Home","2 649
00
zł",ediaexpert,Intel Core i5-1235U,16GB,1000GB PCIe NVMe,Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 60Hz",Windows 11 Home,
"Laptop NTT Book B14IP 14"" IPS i5-1235U 32GB RAM 1TB SSD Windows 11 Home","2 889
99
zł",ediaexpert,Intel Core i5-1235U,32GB,1000GB PCIe NVMe,Intel UHD Graphics,"14"", 1920 x 1200px, Matryca IPS, 60Hz",Windows 11 Home,
